0,-1
23,-1
46,-1
69,-1
92,-1
115,-1
138,-1
161,-1
184,-1
207,-1
230,-1
253,-1
276,-1
299,-1
322,-1
345,-1
368,-1
391,-1
414,-1
437,-1
460,-1
483,-1
506,-1
529,-1
552,-1
575,-1
598,-1
621,-1
644,-1
667,-1
690,-1
713,-1
736,-1
759,-1
782,-1
805,-1
828,-1
851,-1
874,-1
897,-1
920,-1
943,68
966,69
989,69
1012,69
1035,69
1058,70
1081,70
1104,70
1127,70
1150,53
1173,65
1196,65
1219,65
1242,65
1265,65
1288,66
1311,66
1334,66
1357,66
1380,66
1403,66
1426,66
1449,66
1472,66
1495,66
1518,66
1541,66
1564,67
1587,67
1610,67
1633,67
1656,66
1679,66
1701,66
1724,65
1747,64
1770,63
1793,63
1816,64
1839,64
1862,64
1885,64
1908,64
1931,64
1954,64
1977,65
2000,65
2023,65
2046,65
2069,65
2092,66
2115,66
2138,66
2161,66
2184,66
2207,66
2230,66
2253,66
2276,66
2299,66
2322,66
2345,66
2368,66
2391,66
2414,66
2437,66
2460,66
2483,66
2506,66
2529,66
2552,66
2575,66
2598,66
2621,66
2644,66
2667,65
2690,65
2713,66
2736,66
2759,66
2782,66
2805,65
2828,65
2851,64
2874,65
2897,65
2920,66
2943,66
2966,66
2989,65
3012,65
3035,65
3058,65
3081,66
3104,66
3127,66
3150,65
3173,64
3196,64
3219,65
3242,66
3265,66
3288,66
3311,65
3334,65
3357,65
3380,84
3403,84
3426,-1
3449,-1
3472,-1
3495,-1
3518,70
3541,-1
3564,84
3587,82
3610,83
3633,84
3656,84
3679,84
3702,74
3725,69
3748,69
3771,69
3794,69
3817,69
3840,69
3863,69
3886,69
3909,69
3932,69
3955,69
3978,69
4001,69
4024,69
4047,69
4070,67
4093,67
4116,67
4139,67
4162,67
4185,67
4208,67
4231,67
4254,65
4277,-1
4300,-1
4323,-1
4346,-1
4369,-1
4392,66
4415,66
4438,65
4461,65
4484,65
4507,65
4530,66
4553,66
4576,66
4599,65
4622,64
4645,64
4668,64
4691,64
4714,64
4737,64
4760,64
4783,64
4806,64
4829,64
4852,63
4875,62
4898,61
4921,61
4944,61
4967,61
4990,61
5013,62
5036,62
5059,62
5081,61
5104,61
5127,-1
5150,-1
5173,-1
5196,-1
5219,-1
5242,-1
5265,-1
5288,-1
5311,-1
5334,54
5357,66
5380,66
5403,66
5426,66
5449,66
5472,66
5495,66
5518,66
5541,66
5564,66
5587,66
5610,66
5633,66
5656,66
5679,66
5702,66
5725,67
5748,67
5771,66
5794,66
5817,66
5840,66
5863,67
5886,67
5909,67
5932,67
5955,66
5978,66
6001,-1
6024,-1
6047,67
6070,67
6093,67
6116,66
6139,66
6162,66
6185,66
6208,66
6231,66
6254,66
6277,66
6300,66
6323,66
6346,66
6369,66
6392,66
6415,67
6438,67
6461,66
6484,66
6507,66
6530,66
6553,66
6576,65
6599,63
6622,63
6645,63
