0,-1
23,-1
46,-1
69,-1
92,-1
115,-1
138,-1
161,-1
184,-1
207,-1
230,-1
253,-1
276,-1
299,-1
322,-1
345,-1
368,-1
391,-1
414,-1
437,-1
460,-1
483,-1
506,-1
529,-1
552,-1
575,-1
598,-1
621,-1
644,-1
667,-1
690,-1
713,-1
736,-1
759,-1
782,-1
805,-1
828,-1
851,-1
874,-1
897,-1
920,-1
943,-1
966,-1
989,-1
1012,-1
1035,-1
1058,-1
1081,-1
1104,-1
1127,-1
1150,-1
1173,-1
1196,-1
1219,-1
1242,-1
1265,-1
1288,-1
1311,-1
1334,-1
1357,-1
1380,-1
1403,-1
1426,-1
1449,-1
1472,-1
1495,-1
1518,-1
1541,-1
1564,-1
1587,-1
1610,-1
1633,-1
1656,-1
1679,-1
1701,-1
1724,-1
1747,-1
1770,-1
1793,-1
1816,-1
1839,-1
1862,-1
1885,-1
1908,-1
1931,-1
1954,-1
1977,-1
2000,-1
2023,-1
2046,-1
2069,-1
2092,-1
2115,-1
2138,-1
2161,-1
2184,-1
2207,-1
2230,-1
2253,-1
2276,-1
2299,-1
2322,-1
2345,-1
2368,-1
2391,-1
2414,-1
2437,-1
2460,-1
2483,-1
2506,-1
2529,-1
2552,-1
2575,-1
2598,-1
2621,-1
2644,-1
2667,-1
2690,-1
2713,-1
2736,-1
2759,-1
2782,-1
2805,-1
2828,-1
2851,-1
2874,-1
2897,-1
2920,-1
2943,-1
2966,-1
2989,-1
3012,-1
3035,-1
3058,-1
3081,-1
3104,-1
3127,-1
3150,-1
3173,-1
3196,-1
3219,-1
3242,-1
3265,-1
3288,-1
3311,-1
3334,-1
3357,-1
3380,-1
3403,-1
3426,-1
3449,-1
3472,-1
3495,-1
3518,-1
3541,-1
3564,-1
3587,-1
3610,-1
3633,-1
3656,71
3679,71
3702,71
3725,71
3748,71
3771,72
3794,72
3817,73
3840,73
3863,73
3886,73
3909,73
3932,73
3955,73
3978,73
4001,73
4024,73
4047,73
4070,73
4093,73
4116,73
4139,73
4162,73
4185,73
4208,73
4231,73
4254,73
4277,73
4300,73
4323,73
4346,73
4369,73
4392,73
4415,73
4438,73
4461,73
4484,73
4507,73
4530,73
4553,73
4576,73
4599,72
4622,73
4645,73
4668,73
4691,73
4714,73
4737,73
4760,73
4783,73
4806,72
4829,72
4852,54
4875,54
4898,72
4921,72
4944,54
4967,54
4990,54
5013,54
5036,73
5059,73
5081,73
5104,54
5127,54
5150,73
5173,73
5196,73
5219,73
5242,73
5265,73
5288,73
5311,73
5334,54
5357,73
5380,73
5403,73
5426,73
5449,73
5472,73
5495,73
5518,73
5541,73
5564,73
5587,73
5610,73
5633,73
5656,54
5679,54
5702,73
5725,72
5748,72
5771,73
5794,73
5817,73
5840,73
5863,73
5886,54
5909,73
5932,73
5955,72
5978,-1
6001,-1
6024,-1
6047,-1
6070,-1
6093,-1
6116,-1
6139,-1
6162,-1
